refinebio_accession_code,mutation_status
SRR8907879,NA
SRR8907880,NA
SRR8907881,NA
SRR8907882,NA
SRR8907883,NA
SRR8907884,NA
SRR8907885,NA
SRR8907886,NA
SRR8907887,NA
SRR8907888,NA
SRR8907889,NA
SRR8907890,NA
SRR8907891,NA
SRR8907892,NA
SRR8907893,NA
SRR8907894,NA
SRR8907895,NA
SRR8907896,NA
SRR8907897,NA
SRR8907898,NA
SRR8907899,NA
SRR8907900,NA
SRR8907901,NA
SRR8907902,NA
SRR8907903,NA
SRR8907904,NA
SRR8907905,NA
SRR8907906,NA
SRR8907907,NA
SRR8907908,NA
SRR8907909,NA
SRR8907910,NA
SRR8907911,NA
SRR8907912,NA
SRR8907913,NA
SRR8907914,NA
SRR8907915,NA
SRR8907916,NA
SRR8907917,NA
SRR8907918,NA
SRR8907919,NA
SRR8907920,NA
SRR8907921,NA
SRR8907922,NA
SRR8907923,NA
SRR8907924,NA
SRR8907925,NA
SRR8907926,NA
SRR8907927,NA
SRR8907928,NA
SRR8907929,NA
SRR8907930,NA
SRR8907931,NA
SRR8907932,NA
SRR8907933,NA
SRR8907934,NA
SRR8907935,NA
SRR8907936,NA
SRR8907937,NA
SRR8907938,NA
SRR8907939,NA
SRR8907940,NA
SRR8907941,NA
SRR8907942,NA
SRR8907943,NA
SRR8907944,NA
SRR8907945,NA
SRR8907946,NA
SRR8907947,NA
SRR8907948,NA
SRR8907949,NA
SRR8907950,NA
SRR8907951,NA
SRR8907952,NA
SRR8907953,NA
SRR8907954,NA
SRR8907955,NA
SRR8907956,NA
SRR8907957,NA
SRR8907958,NA
SRR8907959,NA
SRR8907960,NA
SRR8907961,NA
SRR8907962,NA
SRR8907963,NA
SRR8907964,NA
SRR8907965,NA
SRR8907966,NA
SRR8907967,NA
SRR8907968,NA
SRR8907969,NA
SRR8907970,NA
SRR8907971,NA
SRR8907972,NA
SRR8907973,NA
SRR8907974,NA
SRR8907975,NA
SRR8907976,NA
SRR8907977,NA
SRR8907978,NA
SRR8907979,NA
SRR8907980,NA
SRR8907981,NA
SRR8907982,NA
SRR8907983,NA
SRR8907984,NA
SRR8907985,NA
SRR8907986,NA
SRR8907987,NA
SRR8907988,NA
SRR8907989,NA
SRR8907990,NA
SRR8907991,NA
SRR8907992,NA
SRR8907993,NA
SRR8907994,NA
SRR8907995,NA
SRR8907996,NA
SRR8907997,NA
SRR8907998,NA
SRR8907999,NA
SRR8908000,NA
SRR8908001,NA
SRR8908002,NA
SRR8908003,NA
SRR8908004,NA
SRR8908005,NA
SRR8908006,NA
SRR8908007,NA
SRR8908008,NA
SRR8908009,NA
SRR8908010,NA
SRR8908011,NA
SRR8908012,NA
SRR8908013,NA
SRR8908014,NA
SRR8908015,NA
SRR8908016,NA
SRR8908017,NA
SRR8908018,NA
SRR8908019,NA
SRR8908020,NA
SRR8908021,NA
SRR8908022,NA
SRR8908023,NA
SRR8908024,NA
SRR8908025,NA
SRR8908026,NA
SRR8908027,NA
SRR8908028,NA
SRR8908029,NA
SRR8908030,NA
SRR8908031,NA
SRR8908032,NA
SRR8908033,NA
SRR8908034,NA
SRR8908035,NA
SRR8908036,NA
SRR8908037,NA
SRR8908038,NA
SRR8908039,NA
SRR8908040,NA
SRR8908041,NA
SRR8908042,NA
SRR8908043,NA
SRR8908044,NA
SRR8908045,NA
SRR8908046,NA
SRR8908047,NA
SRR8908048,NA
SRR8908049,NA
SRR8908050,NA
SRR8908051,NA
SRR8908052,NA
SRR8908053,NA
SRR8908054,NA
SRR8908055,NA
SRR8908056,NA
SRR8908057,NA
