k	tot_withinss	scaled_tot_withinss	avg_silhouette	gene_count
2	6179.364890366203	3089.6824451831017	0.35679667558526734	10
3	4943.564307581697	1647.854769193899	0.30927681475343616	10
4	3952.948694082996	988.237173520749	0.3305898400983125	10
5	3524.8112597160402	704.962251943208	0.29671922371544973	10
6	3108.8568879393692	518.1428146565615	0.289329003944652	10
7	2817.5569450360417	402.5081350051488	0.2923414405703646	10
8	2569.40276627634	321.1753457845425	0.3092347466249014	10
2	71974.07564395996	35987.03782197998	0.27298498002224464	100
3	61380.730446000336	20460.24348200011	0.20256632195436386	100
4	55008.732581499506	13752.183145374876	0.1951175779221935	100
5	51374.237594686674	10274.847518937335	0.19663206350349444	100
6	47758.285110326426	7959.714185054404	0.19109906101446839	100
7	45149.501442978595	6449.928777568371	0.18919404314965316	100
8	42653.12620779493	5331.640775974366	0.17876320878897764	100
2	687875.2380387965	343937.61901939823	0.2134768333223979	1000
3	590472.3509776472	196824.11699254907	0.17839592648986294	1000
4	538868.2067182338	134717.05167955844	0.15517418429238772	1000
5	498376.9331096839	99675.38662193678	0.16199690797755992	1000
6	469395.2606339413	78232.54343899021	0.15649518203876833	1000
7	446378.75275163836	63768.393250234054	0.16569699189510942	1000
8	423907.96520413563	52988.495650516954	0.16106825706373287	1000
2	2803620.771653369	1401810.3858266845	0.1892335586844095	5000
3	2431895.691165954	810631.897055318	0.15965115396884264	5000
4	2224681.797961788	556170.449490447	0.1494802223516689	5000
5	2074023.3442387609	414804.66884775215	0.14145041795149754	5000
6	1970669.4047744684	328444.90079574473	0.13718549277051192	5000
7	1868627.0597098162	266946.72281568806	0.1522169030881462	5000
8	1797146.457928734	224643.30724109174	0.14436915634251166	5000
2	4344671.373227536	2172335.686613768	0.18299142764813997	10000
3	3797277.2491812552	1265759.0830604185	0.14814879210545603	10000
4	3466868.4914576826	866717.1228644206	0.15168065785571608	10000
5	3262627.738344533	652525.5476689066	0.1274800383105412	10000
6	3091400.9868509243	515233.4978084874	0.13622797545963133	10000
7	2958295.525978178	422613.6465683111	0.14951708953446294	10000
8	2848259.3360556564	356032.41700695705	0.13413167846078936	10000
