Method	n_terms	min_pvalue	mean_pvalue
GO_BP_All	8	2.7794591682788068e-6	1.0152312180400018e-4
GO_BP_Up	8	4.395995978890865e-5	2.1352636514010922e-4
GO_CC_All	23	7.165554756514283e-6	0.001911213384278286
GO_MF_All	4	4.510073271445501e-4	6.119531320888635e-4
